"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 19 18:02:41 IST 2022","Tue Apr 19 18:02:46 IST 2022","5267","","SignUp Login and Update Cart Application","","SignUp Login and Update Cart Application","verify the Title","verify the Title",""
"passed","Fri Apr 22 20:35:27 IST 2022","Fri Apr 22 20:35:34 IST 2022","6725","","SignUp Login and Update Cart Application","","SignUp Login and Update Cart Application","navigate to Sign In Page","navigate to Sign In Page",""
"passed","Tue Apr 19 18:02:46 IST 2022","Tue Apr 19 18:02:49 IST 2022","3168","","SignUp Login and Update Cart Application","","SignUp Login and Update Cart Application","search any from Searchtext","search any from Searchtext",""
"passed","Tue Apr 19 18:02:46 IST 2022","Tue Apr 19 18:02:46 IST 2022","38","","SignUp Login and Update Cart Application","","SignUp Login and Update Cart Application","verify the SignIn Button","verify the SignIn Button",""
"failed","Fri Apr 22 20:35:23 IST 2022","Fri Apr 22 20:35:24 IST 2022","1017","","SignUp Login and Update Cart Application","","SignUp Login and Update Cart Application","verify the SignIn Button","verify the SignIn Button",""
"passed","Fri Apr 22 20:35:24 IST 2022","Fri Apr 22 20:35:27 IST 2022","3219","","SignUp Login and Update Cart Application","","SignUp Login and Update Cart Application","search any from Searchtext","search any from Searchtext",""
"passed","Tue Apr 19 18:02:49 IST 2022","Tue Apr 19 18:02:55 IST 2022","6058","","SignUp Login and Update Cart Application","","SignUp Login and Update Cart Application","navigate to Sign In Page","navigate to Sign In Page",""
"passed","Fri Apr 22 20:35:14 IST 2022","Fri Apr 22 20:35:23 IST 2022","8164","","SignUp Login and Update Cart Application","","SignUp Login and Update Cart Application","verify the Title","verify the Title",""
"passed","Tue Apr 19 11:17:00 IST 2022","Tue Apr 19 11:17:13 IST 2022","13182","","herokuapp website sample test","","herokuapp website sample test","verify simple login test","verify simple login test",""
"passed","Tue Apr 19 14:22:42 IST 2022","Tue Apr 19 14:23:04 IST 2022","22315","","SignUp Login and Update Cart Application","","SignUp Login and Update Cart Application","verify the Logo","verify the Logo",""
"passed","Tue Apr 19 11:09:21 IST 2022","Tue Apr 19 11:09:33 IST 2022","11830","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
